Date,Open,High,Low,Close,Volume,Outlier_Flag,Daily_Return,Log_Return,MA_7,MA_30,EMA_12,EMA_26,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,Volatility_30,RSI_14
2021-06-01,1905.0999755859373,1916.199951171875,1752.0999755859375,1770.800048828125,8466,False,,,,,1770.800048828125,1770.800048828125,0.0,0.0,,,,,
2021-07-01,1775.699951171875,1833.0,1768.800048828125,1812.5999755859373,245814,False,0.023605108202631175,0.023330815719562692,,,1777.2308067908652,1773.8963396990741,3.3344670917911117,0.6668934183582224,,,,,
2021-09-01,1813.5,1833.9000244140625,1721.4000244140625,1755.300048828125,28543,False,-0.031612009008931796,-0.03212245487175855,,,1773.8568440273668,1772.5188366715965,1.3380073557702872,0.8011162058406354,,,,,90.4611245932168
2021-10-01,1754.300048828125,1809.0,1744.699951171875,1783.0,8208,False,0.01578074995803025,0.01565752858330233,,,1775.263483407772,1773.2952191403672,1.9682642674047202,1.0345458181534524,,,,,90.91241418882724
2021-11-01,1787.5,1869.699951171875,1761.800048828125,1773.5999755859375,221936,False,-0.005272027153147785,-0.005285973326297307,,,1775.0075591274897,1773.317793691891,1.6897654355987015,1.1655897416425023,,,,,89.36726200976307
2021-12-01,1774.800048828125,1827.800048828125,1753.9000244140625,1827.5,10803,False,0.03039018107578384,0.029937547087090434,,,1783.083319261722,1777.3312904554548,5.7520288062671625,2.0828775545674345,,,,,90.37719891017534
2022-01-01,1830.0999755859373,1852.699951171875,1778.800048828125,1795.0,232014,False,-0.017783857729138153,-0.017943890701554308,1788.2571498325892,,1784.9166547599186,1778.640083755051,6.276571004867719,2.921616244627492,,,,,85.12677474624539
2022-02-01,1797.199951171875,1972.5,1787.9000244140625,1899.4000244140625,9510,False,0.0581615734897285,0.05653303774003848,1806.6285749162946,,1802.529480860556,1787.5852645446073,14.944216315948779,5.326136258891749,,,,,87.61568590032334
2022-03-01,1908.300048828125,2072.0,1893.5,1949.199951171875,157864,False,0.02621876704101611,0.02588094725659205,1826.142857142857,,1825.0941686007588,1799.5567228132936,25.53744578746523,9.368398164606447,,,,,88.59601867704116
2022-04-01,1935.0,1997.0999755859373,1872.9000244140625,1909.300048828125,7725,False,-0.020469886796252945,-0.020682298625755248,1848.142857142857,,1838.048919404969,1807.6858580736516,30.36306133131734,13.567330797948626,,,,,82.93167233569567
2022-06-01,1831.0,1875.5999755859373,1801.0,1804.0999755859373,7851,False,-0.05509876423391735,-0.05667486936704125,1851.1571393694196,,1832.8260049712717,1807.4202371486358,25.40576782263588,15.935018202886077,,,,,70.18966982534216
2022-07-01,1795.5,1806.0999755859373,1679.800048828125,1762.9000244140625,194989,False,-0.022836844814264734,-0.023101644785708225,1849.6285749162946,,1822.0681618086242,1804.1224436127413,17.94571819588282,16.337158201485426,,,,,65.91810206295457
2022-08-01,1763.9000244140625,1804.9000244140625,1708.5,1712.800048828125,11161,False,-0.028419067951734434,-0.028830707357252718,1833.2428676060267,,1805.2576828885472,1797.3578217768438,7.899861111703331,14.649698783529008,,,,,61.0524329427272
2022-09-01,1707.9000244140625,1728.0999755859375,1620.4000244140625,1662.4000244140625,41586,False,-0.02942551551685535,-0.029867130752255763,1814.300013950893,,1783.2795815847803,1787.3609478981193,-4.081366313339004,10.903485764155405,,,,,56.53170976371861
2022-10-01,1667.199951171875,1728.0,1622.800048828125,1635.9000244140625,8817,False,-0.015940808235575088,-0.01606922950693776,1776.6571568080358,,1760.6058035585158,1776.1416202326336,-15.535816674117768,5.61562527650077,,,,,54.256826389019224
2022-11-01,1630.800048828125,1778.9000244140625,1615.0999755859375,1746.0,161813,False,0.06730238641898212,0.06513433087548876,1747.6285923549108,,1758.3587568572057,1773.9089076228088,-15.55015076560312,1.3824700680799924,,,,,61.2362401128224
