Date,Open,High,Low,Close,Volume,Outlier_Flag,Daily_Return,Log_Return,MA_7,MA_30,EMA_12,EMA_26,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,Volatility_30,RSI_14
2021-06-01,241.10458054579783,260.70158399680673,233.20628137162603,259.9818115234375,508572200,False,,,,,259.9818115234375,259.9818115234375,0.0,0.0,,,,,
2021-07-01,258.74377937936407,278.45595521909587,258.7342023291979,273.4271545410156,522672700,False,0.05171647562108794,0.050423568125321575,,,262.0503258338341,260.97776285807294,1.0725629757611728,0.21451259515223456,,,,,
2021-08-01,274.8187736213635,293.51367864736056,272.3043725813039,289.7132873535156,441308900,False,0.059562967839966285,0.057856528616635684,,,266.30616606763124,263.10632022810574,3.1998458395254943,0.8115792440268866,,,,,
2021-09-01,291.2198692597962,293.5756398746453,270.7872667519901,271.07574462890625,502918700,False,-0.06433099045908575,-0.06649348732899729,,,267.03994738475046,263.6966479614984,3.3432994232520628,1.317923279871922,,,,,90.49419615764741
2021-10-01,271.2679339503398,319.2292486539393,269.4698702869473,318.8638610839844,516515800,False,0.17629063980068915,0.16236596162937283,,,275.0128571846326,267.78310819279363,7.22974899183896,2.5002884222653297,,,,,92.4705620540558
2021-11-01,318.6138752155813,336.21958881574847,313.81583020065494,317.8735046386719,509885200,False,-0.0031058911535027933,-0.003110724443808455,,,281.60680294679247,271.4935079295253,10.113295017267149,4.022889741265693,,,,,92.04346383607431
2021-12-01,322.8283799338537,331.66176006626534,305.6046968096101,323.9747009277344,625674800,False,0.019193786836678273,0.019011909699321608,293.55858067103793,,288.1249410977066,275.38100370717046,12.743937390536132,5.767099271119782,,,,,92.28002756649298
2022-01-01,323.0403928868657,325.5931140852779,265.9170862979753,299.56494140625,947531400,False,-0.07534464713320066,-0.07833420239452155,299.2133135114397,,289.8849411451748,277.1724064996949,12.712534645479934,7.156186345991813,,,,,81.80110831634751
2022-02-01,299.015786731649,303.5528885770282,261.5533074657871,287.82232666015625,697050600,False,-0.03919889520773123,-0.039987858349966945,301.269766671317,,289.5676158397874,277.96128947454383,11.606326365243547,8.04621434984216,,,,,77.25617045461368
2022-03-01,286.11047690791975,304.98181691321884,260.6269580157863,297.6070251464844,734334200,False,0.033995620144789296,0.03343054024050537,302.39744349888394,,290.8044480408177,279.41652915394684,11.387918886870864,8.714555257247902,,,,,78.33628310304874
2022-04-01,298.6301612749674,304.17088673788385,260.62690246899666,267.8858337402344,627343400,False,-0.09986723731276503,-0.10521301244003309,301.9417419433594,,287.2785073791895,278.56240356774595,8.716103811443531,8.714864968087028,,,,,67.80312461996519
2022-05-01,268.069267241252,280.78208261614026,237.8848183576656,262.4320068359375,742902000,False,-0.02035877309430767,-0.020568869340843187,293.8800484793527,,283.45596883407376,277.36755936538975,6.088409468684006,8.189573868206423,,,,,66.04812916240962
2022-06-01,266.26517323020494,268.67432167384163,233.6689595631694,248.49156188964844,621372300,False,-0.053120216220440275,-0.05458313812073257,283.96834237234935,,278.0768293041622,275.2285965894089,2.848232714753294,7.121305637515798,,,,,61.65518330403406
2022-07-01,248.06578007342395,272.844284035895,237.9550492266374,271.62518310546875,534891800,False,0.09309620431334253,0.089014223905936,276.48983982631137,,277.08426835051705,274.96167707207997,2.122591278437085,6.121562765700055,,,,,65.72876770460964
2022-08-01,268.8001014601708,284.6289316612113,252.1972269233166,252.98092651367188,477157600,False,-0.06863964665808453,-0.0711090160760364,269.8349805559431,,273.37606191407934,273.3334733270127,0.042588587066632044,4.905767929973371,,,,,60.179861648029124
2022-09-01,250.99691033155943,259.31598098773134,225.6519139757613,225.81674194335935,575586600,False,-0.10737641348959359,-0.1135903026341768,260.977039882115,,266.0592434570455,269.8137154467421,-3.754471989696583,3.1737199460393803,,,,,53.140778728431805
2022-10-01,228.2504494501005,243.40508222307463,212.46557633249435,225.07020568847656,671225100,False,-0.0033059384723123086,-0.0033114151606312837,250.61463710239954,,259.7532376464965,266.4993813905743,-6.746143744077813,1.189747208015942,,,,,52.95744985307147
2022-11-01,227.4650931517653,247.56462548988364,206.93892541484317,247.38040161132807,615296000,False,0.0991254966627233,0.09451486058793654,247.68528965541296,,257.84972441031675,265.0831606661857,-7.233436255868924,-0.4948894847610311,,,,,57.65861184178159
2022-12-01,246.8426998799428,256.61452680448,227.3963135698159,233.1816253662109,591358700,False,-0.05739652839365006,-0.05910958148809646,243.5066637311663,,254.05463224968508,262.72008397729866,-8.665451727613572,-2.1290019333315393,,,,,53.96255152209187
2023-01-01,236.35135842533495,242.91451317831144,213.2782274257337,240.95042419433597,666168100,False,0.033316513751562526,0.03277354567590192,242.42935834612166,,252.03860024116983,261.1075165859681,-9.068916344798254,-3.516984815624882,270.7859634399414,331.54402202186685,210.02790485801592,,55.63815819201747
2023-02-01,241.13519273749665,269.0991060357477,238.6752260307572,242.5158843994141,615501000,False,0.006497021992439178,0.006476007317811995,238.27088710239954,,250.57356703474588,259.73035864622335,-9.156791611477473,-4.6449461747954,269.91266708374025,331.81588140785135,208.00945275962914,,55.985795621679515
2023-03-01,244.42950186546545,281.96730287180225,239.4095207269129,281.02178955078125,747635000,False,0.15877683742954107,0.14736499830246672,242.27672467912947,,255.2579089602898,261.3075016761906,-6.049592715900815,-4.925875483016483,270.2923988342285,332.3792900487086,208.2055076197484,,63.55174873678934
2023-04-01,279.28668183165047,301.1309363430766,268.41817381406963,299.50311279296875,551520000,False,0.06576473401486149,0.063692601587427,252.8033490862165,,262.06486339608654,264.13680620335936,-2.071942807272819,-4.355088947867751,270.78189010620116,333.6627593469082,207.9010208654941,,66.52594437946084
2023-05-01,299.22044277055136,327.45908680042794,295.74056145316223,320.0997009277344,600856900,False,0.06876919556092553,0.06650770186630116,266.37899126325334,,270.99329993941694,268.28220581257233,2.711094126844614,-2.9418523329252784,273.23308792114256,339.8719581213435,206.59421772094166,,69.5118170486471
2023-06-01,318.3962963997103,343.34596139973144,315.04558615767,332.6686096191406,547702200,False,0.0392656058564822,0.03851431549827492,278.5630209786551,,280.4818091209129,273.05156905750334,7.430240063409542,-0.8674338536583142,273.9233253479004,342.800631332222,205.0460193635788,,71.20008408150252
2023-07-01,331.3498004113433,358.3020682084727,319.44156359156415,328.1553955078125,666746800,False,-0.013566696648941834,-0.0136595651805951,292.13070242745533,,287.8162070265897,277.1333339797485,10.682873046841223,1.4426275264415933,274.4374198913574,344.83270814355325,204.0421316391616,,69.70742143259999
2023-08-01,327.4422423496299,330.71481462932326,304.3486555800913,320.1839904785156,479476200,False,-0.02429155558134677,-0.024591462177127477,303.4497833251953,,292.7958660191937,280.3222714981757,12.473594521017958,3.6488209253568664,274.2478843688965,344.09990377570676,204.39586496208625,,67.03434041502412
2023-09-01,324.3371306258303,333.6861260111428,302.9372182274893,309.1046142578125,416742300,False,-0.03460315490523114,-0.03521602373832815,312.9624590192522,,295.3049042097504,282.45429688777847,12.85060732197195,5.489178204679883,274.7248680114746,345.4298665630624,204.01986945988682,,63.39555037385717
