Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-01,333.35923982847794,377.02683591363063,333.2218750573128,371.7388610839844,563894000,0.75,0.0
2023-12-01,370.3797137751681,371.75599927582255,356.7544123167542,369.6719055175781,522081700,0.0,0.0
2024-01-01,367.52879573412395,408.2867065664151,360.29344919031854,390.84710693359375,528491200,0.0,0.0
2024-02-01,395.02510342071776,413.6935332596461,390.49318693583024,406.6351318359375,444091200,0.75,0.0
2024-03-01,405.0529481190555,424.3074348650001,392.3676763323932,414.360107421875,426445300,0.0,0.0
2024-04-01,417.5412964564824,422.8793472311419,382.1642742993836,383.4446105957031,441083800,0.0,0.0
2024-05-01,386.6750516901275,427.0454421142227,384.4098319251832,408.8546447753906,413780000,0.75,0.0
2024-06-01,409.98668893951356,450.0845521337807,403.4648830141003,440.987548828125,341717100,0.0,0.0
2024-07-01,442.67479073537083,462.10212466124665,406.7110288792971,412.7691345214844,440449200,0.0,0.0
2024-08-01,415.17655835863457,421.75756192981123,380.4362474066488,411.57525634765625,451919000,0.75,0.0
2024-09-01,413.0781877543154,436.7413992990804,396.16599545037946,425.3249206542969,376898100,0.0,0.0
2024-10-01,423.49631283004703,433.4301035945403,401.60238494770107,401.6518249511719,440745500,0.0,0.0
2024-11-01,404.28114166347814,424.36618414610956,400.8809116418858,418.5640563964844,442306200,0.83,0.0
2024-12-01,417.5299382234834,451.78844519312827,416.6286554798762,417.4606018066406,439902400,0.0,0.0
2025-01-01,421.45200006357817,444.0830267865293,406.78393174897894,411.08233642578125,462501200,0.0,0.0
2025-02-01,407.65548843170876,415.2915921387474,382.8653615451383,393.18548583984375,432448900,0.83,0.0
2025-03-01,395.78997802652503,399.094665073467,364.449889664545,372.5379943847656,491786600,0.0,0.0
2025-04-01,371.8036168416161,393.6464071015826,342.17049063471666,392.2570495605469,563144100,0.0,0.0
2025-05-01,427.83468053432546,459.0060505767101,421.67186872160994,456.8624572753906,476942400,0.83,0.0
2025-06-01,454.49979214706946,497.86785899517616,454.2512360277279,494.5372009277344,401255100,0.0,0.0
2025-07-01,493.6025739799148,552.2419382207228,485.87746155113956,530.418701171875,396881900,0.0,0.0
2025-08-01,531.9100715897364,535.14130099659,495.6308317432407,503.7635803222656,454888500,0.83,0.0
2025-09-01,498.3974907281952,517.1494999099087,490.3310277893008,515.8051147460938,424025500,0.0,0.0
2025-10-01,512.6681046624125,551.4269126367195,503.90455926643244,515.6656494140625,468447000,0.0,0.0
2025-11-01,517.6573987123703,522.7860962249423,462.96484638723985,489.9725341796875,479480700,0.91,0.0
2025-12-01,487.32770777292063,492.3761825072599,469.8076985272525,482.5186767578125,496558500,0.0,0.0
2026-01-01,483.286925111249,488.5848303422302,420.06121048648595,429.31011962890625,684062600,0.0,0.0
2026-02-01,429.2602135973635,429.7590749576981,380.84073118120676,391.8456115722656,800257300,0.91,0.0
2026-03-01,392.8599853515625,413.04998779296875,356.2799987792969,370.1700134277344,745288400,0.0,0.0
2026-04-01,373.489990234375,433.70001220703125,364.1499938964844,407.7799987792969,716519100,0.0,0.0
2026-05-01,412.79998779296875,432.70001220703125,400.8800048828125,419.0899963378906,489933951,0.0,0.0
