Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-01,121.92195792226927,133.94064949902392,120.02118743472177,133.50201416015625,1606590000,0.0,0.0
2021-07-01,133.1510959548221,146.21276354913198,132.33229317506306,142.1772918701172,1919035100,0.0,0.0
2021-08-01,142.66465855657083,149.61464289567436,140.85161981043646,147.99655151367188,1461542800,0.22,0.0
2021-09-01,149.19455273050235,153.5191667980544,137.90953902470758,138.13406372070312,1797835100,0.0,0.0
2021-10-01,138.52450236591338,149.52641780393122,134.98086228212242,146.23658752441406,1565079200,0.0,0.0
2021-11-01,145.44588359532932,161.75838364531256,143.9717934114144,161.36790466308594,1691029000,0.22,0.0
2021-12-01,163.73465972070596,178.0570523952688,154.2711396150188,173.59902954101562,2444766700,0.0,0.0
2022-01-01,173.8532259011941,178.84895261389298,151.2404725829568,170.87142944335938,2108446000,0.0,0.0
2022-02-01,170.11862220727977,172.69958349095714,148.60083553701108,161.42742919921875,1627516300,0.22,0.0
2022-03-01,161.22196839299812,175.81711219198374,146.93029076020332,170.92269897460938,2180800100,0.0,0.0
2022-04-01,170.3549494310579,174.72077270022066,152.09879365670588,154.3208465576172,1687795600,0.0,0.0
2022-05-01,153.4006843908061,162.96435573902065,129.8096099749133,145.69686889648438,2401040300,0.23,0.0
2022-06-01,146.95011950651812,148.7539216081525,126.5006217919682,134.0294952392578,1749099800,0.0,0.0
2022-07-01,133.3628286405119,160.40988958103017,132.9903169262014,159.31192016601562,1447125400,0.0,0.0
2022-08-01,157.8414781065801,172.6835373806916,154.04764064056994,154.12606811523438,1510239600,0.23,0.0
2022-09-01,153.77078029421838,161.2511978093725,135.47221503631138,135.66854858398438,2084722800,0.0,0.0
2022-10-01,135.67834312212338,154.61499170588172,131.90867098770357,150.53118896484375,1868139700,0.0,0.0
2022-11-01,152.23936310745964,152.60258093263647,131.91853311959403,145.31849670410156,1724847700,0.23,0.0
2022-12-01,145.73656246698363,148.40132746993288,123.7693859188006,127.7616195678711,1675731200,0.0,0.0
2023-01-01,128.10578809385495,144.77291073423422,122.09775577287671,141.88197326660156,1443652500,0.0,0.0
2023-02-01,141.5672976154213,154.7535028204035,138.96152925088853,144.94989013671875,1307198900,0.23,0.0
2023-03-01,144.60001548711332,162.49405610459849,141.71450716161644,162.39556884765625,1520266600,0.0,0.0
2023-04-01,161.77512769783516,167.2703823718156,157.3533148706082,167.1029510498047,969776400,0.0,0.0
2023-05-01,166.70905716569598,176.62612615658657,161.81453788645135,174.55801391601562,1275364700,0.24,0.0
2023-06-01,175.24321968725525,191.79122791985353,174.48386104799596,191.2882843017578,1297383300,0.0,0.0
2023-07-01,191.1009242547547,195.48939847860103,184.0201974247019,193.7340087890625,996114000,0.0,0.0
2023-08-01,193.5269209309418,194.01013688431746,169.58260136085275,185.2726287841797,1322657800,0.24,0.0
2023-09-01,187.12261725658905,187.60648581128032,165.52583926119695,169.0709991455078,1337823000,0.0,0.0
